"54.35266411714678","48.52937363889138","start"
"54.352936108999224","48.52930390145684","point"
"54.35308304637717","48.5292395284405","point"
"54.35322685691905","48.52905177380962","point"
"54.35357700222153","48.52898740079326","point"
"54.35370205339188","48.528772824071496","point"
"54.35368642201645","48.52839731480976","return"
"54.353308140916006","48.528418772481565","point"
"54.353292509390734","48.527608745359004","point"
"54.35364265413323","48.52756046559719","point"
"54.35364265413323","48.52713131215455","point"
"54.35382397791699","48.52675580289281","finish"
